year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,30027,12433,263,0,7089,0,17565,18,21653,11771,0,3076,0,6613,0,0,0,0,0,8373,21217,23240,-2023,-8857,-5662,0,-5662
2,1993,37386,12775,300,0,8009,0,24611,0,23867,12390,0,3819,0,5062,0,0,0,0,0,13519,22524,18409,4115,-3190,-137,0,-137
3,1994,37685,14432,635,0,9840,0,23253,0,26214,13612,0,1939,0,919,0,0,0,0,0,11471,31347,22744,8602,56,-1073,654,-1727
4,1995,40027,14205,371,0,9935,0,25775,48,28909,18477,0,2687,0,10775,0,0,0,0,0,11118,30593,21139,9454,1770,-2819,652,-3471
5,1996,66868,12304,246,0,7443,0,54491,0,28297,14078,0,1533,0,5250,0,0,0,0,0,38571,29059,20872,8187,902,-3737,659,-4396
6,1997,75366,23545,9078,0,7824,0,51772,0,28042,14272,0,1337,0,401,0,0,0,0,0,47324,36146,23257,12890,4077,3463,0,3463
7,1998,86241,35619,6493,0,13619,0,50517,0,37380,24026,0,4741,0,396,0,0,0,0,0,48861,44585,27199,17386,5823,1386,174,1148
8,1999,80039,31481,6772,0,13217,0,48487,0,32109,21573,0,1462,0,0,10453,0,0,0,0,47930,43713,27215,16498,6769,-1381,-445,-936
9,2000,96732,30346,6133,0,16238,0,45173,0,48787,14370,0,2069,0,377,34307,0,0,110,0,47945,36454,22221,14233,5210,1908,24,26
10,2001,75785,32951,3769,9142,14343,0,42699,135,27751,17755,6272,3238,0,100,9928,0,0,0,0,48033,38487,25764,12723,4033,228,96,68
11,2002,79033,29597,4296,9537,12598,0,43736,0,30947,15908,4804,1842,0,4296,15039,0,0,0,0,48086,39058,29970,9087,145,36,1,33
12,2003,63092,20075,0,8906,9955,0,40339,0,22206,14277,5615,1912,0,0,6795,0,0,0,0,40886,35773,24824,10948,304,-1183,205,-1473
13,2004,59139,18474,0,6349,10982,0,38773,0,17291,12700,5657,2112,0,0,3747,0,0,0,0,41848,39243,24951,14292,2195,1647,0,865
14,2005,57559,19549,0,7269,10877,0,35786,0,16037,13332,5018,1410,0,0,2168,0,0,0,0,41522,42950,26824,16126,2552,1290,0,1290
15,2006,59086,22247,360,6301,14028,0,34346,0,17234,15629,5191,2807,0,5825,1352,0,0,0,0,41852,45247,27709,17537,3483,3161,960,1846
16,2007,63050,30293,773,10056,14198,0,32757,0,20411,19312,4385,418,0,10133,1099,0,0,0,0,42639,51796,32154,19642,5731,5047,1420,3101
17,2008,70008,39249,571,10071,21331,0,30759,0,28039,26567,7098,455,0,14462,1472,0,0,0,0,41969,53510,32354,21156,6243,4659,1396,2747
18,2009,64150,32479,591,14247,12696,0,31671,0,21704,20540,4790,756,0,10758,1164,0,0,0,0,42446,57213,35646,21567,2382,1374,530,649
19,2010,61226,32416,388,11408,15739,0,28810,0,18916,18739,6254,1006,0,6719,178,0,0,0,0,0,53633,30361,23272,4601,4207,1406,2280
20,2011,54381,27858,217,12077,13585,0,26523,0,15421,14529,4125,3530,0,6874,118,0,0,0,773,38961,54777,29483,25294,5479,5287,1937,3350
21,2012,135128,41502,971,13222,22714,0,93505,0,24731,24592,6582,3487,0,14523,42,0,0,0,97,110397,62393,35234,27160,4357,4227,0,4227
22,2013,129650,39748,257,14876,20759,0,89683,0,43034,23052,7225,4858,0,10968,0,0,0,0,0,86616,69721,41650,28071,2418,1752,0,1752
23,2014,128652,42429,1502,17052,22393,0,85918,0,40295,20751,7680,2927,0,10144,0,0,0,0,19543,88357,74192,43937,30255,5441,4750,0,4750
