year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,157342,81658,2887,31195,42999,0,75218,0,65083,58494,20017,37052,0,0,92259,125610,103999,21611,-926,-7647,1288,-8935
1993,147282,77276,2133,31978,38652,0,69658,0,55662,50597,17754,32499,0,0,91620,108134,94386,13748,-1314,734,1168,-434
1994,156174,79892,2323,0,43340,0,75968,0,78157,73523,8632,51084,0,0,78017,126864,122952,3912,-9974,11028,2112,-13140
1995,145189,76410,2772,0,51506,0,68490,0,62268,55879,21409,32464,0,0,82921,136276,112420,23856,8650,6855,1950,4904
1996,166192,96967,1228,0,58507,0,64907,0,83298,77749,4356,64889,0,0,82894,131175,107824,23351,9918,-27,0,-27
1997,157089,84502,8076,0,47395,0,68819,0,64220,59344,5302,51864,0,0,92869,138274,102580,35693,20765,10008,0,10008
1998,177394,106888,7648,0,47867,0,69952,0,83544,79347,7137,70997,0,0,93850,133404,110986,22418,7244,589,153,53
1999,209875,145042,2626,0,79873,0,61125,0,115924,107649,3594,96705,0,0,93951,143918,119943,23975,8039,288,223,65
2000,192111,116067,3894,0,54937,0,62827,0,91215,88198,8210,70624,0,0,100896,138566,107468,31098,16527,7001,0,7001
2001,209415,120954,2873,50000,59744,0,76521,0,107934,91070,8241,77154,16703,160,101482,122130,94061,28068,14026,6598,1951,3924
2002,185611,84586,1023,35993,39904,0,69597,0,82671,73841,9186,55055,8830,0,102940,135575,110390,25185,10681,3049,913,1760
2003,173972,100028,0,31936,53428,3495,68072,0,77019,73364,7606,0,3656,0,96952,148164,113489,34675,20669,-1865,0,-1865
2004,158395,87108,0,26040,49804,3494,64952,0,44556,44556,7626,0,0,0,113839,161001,129050,31951,17591,16471,0,16471
2005,182061,117423,0,24629,81956,2140,59684,0,68859,68859,7526,0,0,0,113202,152757,114021,38736,25049,18392,0,18392
2006,167716,107104,2944,29341,63519,1706,57860,0,55282,55282,6486,47289,0,0,112434,158391,122896,35495,21799,12772,0,12772
2007,158587,91384,895,25346,51228,1610,64690,0,49371,49371,4362,43670,0,0,109216,142389,112415,29974,17416,14184,0,14184
2008,192158,116991,617,19068,77542,1481,72659,0,102037,89589,4928,75868,12448,0,90120,121484,94913,26571,13215,2053,504,1362
2009,189215,106218,1271,16216,74683,1560,79643,0,97032,70456,6651,61119,17790,0,92184,86662,78566,8096,-521,-3451,0,-3451
2010,149542,77976,2306,18504,45205,1492,69264,0,59660,45461,4274,40308,8318,0,0,121018,106587,14431,5606,2638,0,2638
2011,214884,152444,3490,13880,125984,0,61996,0,117431,106744,5661,99051,7525,0,97453,114655,88546,26109,19827,15350,0,15350
2012,351221,163544,9881,24046,114185,0,187383,0,173570,88784,12043,76623,48991,35796,177651,89732,100312,-10581,-19682,-19005,-5702,-13303
2013,287811,104927,250,24470,67886,0,182594,0,140443,80358,16596,63578,41287,18797,147368,111127,117120,-5993,-16135,-33236,-9971,-23265
