year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1996,205997,100339,1752,0,82133,0,105162,0,135411,101901,0,10626,0,27803,0,0,0,0,0,70586,326019,242663,83356,2264,16668,4002,12665
2,1997,347538,174154,10199,0,130908,0,171465,0,233166,171346,83576,8393,0,61102,61821,0,0,0,0,114372,511228,371071,140157,13586,8502,2594,5156
3,1998,379492,155578,9060,0,128360,0,221293,0,260613,171274,0,17960,0,32936,0,0,0,0,0,118878,638951,469678,169273,13703,7603,2746,4062
4,1999,381851,159640,9565,2397,129386,0,217680,0,242302,190416,89527,24497,13619,30686,0,0,0,0,0,138544,755943,549187,206756,31190,31592,9255,19654
5,2000,554194,327391,152296,2540,142504,0,220973,0,395534,344695,91273,34860,17216,179217,50046,0,0,0,0,158661,872853,632036,240818,39249,42138,12416,26123
6,2001,548946,321783,119796,5986,173005,0,224461,2587,368985,295509,123890,22687,17447,92072,64684,0,0,0,0,179962,981888,704410,277478,51812,40136,7312,29351
7,2002,655803,348731,56314,3339,226732,0,303728,2572,461335,426474,166213,31462,9528,182385,26774,0,0,0,0,194468,1138825,830676,308150,44392,55339,14322,33704
8,2003,726000,344172,0,5675,237892,1142,377716,2970,509357,407602,191537,30581,9895,0,94820,0,0,0,6810,216643,1388017,1046366,341652,20772,9982,3389,5099
9,2004,737270,367816,0,4659,223637,41095,314754,4144,507342,477709,134224,44822,8457,0,12922,0,0,0,16710,229929,1284717,947892,336825,16175,28066,10292,13815
10,2005,731864,371480,0,9706,227371,3643,322143,0,525658,489928,133049,36628,16000,0,16142,0,0,0,19589,206206,1189748,839323,350424,55742,43793,14886,22287
11,2006,794211,392507,30680,7154,234285,75246,320873,2243,539031,430900,135246,19083,9010,206506,108131,0,0,0,0,255181,1369911,956490,413421,87255,87670,24801,51710
12,2007,817076,425983,28584,7865,244469,42695,339333,2340,515412,414622,165084,26744,11041,111019,100790,0,0,0,0,301664,1475451,1061921,413530,156001,148260,40477,89059
13,2008,915602,489647,45660,8021,302679,48105,363218,2003,641212,577379,207126,37467,16488,261239,63834,0,0,0,0,274390,1623758,1161971,461787,170214,160558,45223,98173
14,2009,893525,443901,34896,8408,296085,73939,350750,2281,537812,491645,176834,50654,27686,196482,46167,0,0,0,0,355713,1807242,1296976,510266,189061,164524,48236,98632
15,2010,1038911,551378,86901,7818,343783,90078,376008,2731,604179,544201,257303,59112,49318,112811,58948,0,0,0,0,0,1966086,1349336,616750,262881,254965,71051,156245
16,2011,1303316,637788,44673,11074,388060,0,453531,2971,767577,631788,206981,58679,110460,194617,120004,0,0,0,14809,535738,2216239,1560057,656181,180713,213728,68928,144800
17,2012,1397316,834593,42224,10875,436951,0,487359,4721,808636,610168,236358,58099,68715,183191,186074,569,0,570,10139,588680,2535299,1808140,727158,223448,200582,67972,132610
18,2013,1537625,933339,38422,10900,540365,0,510167,5391,883359,682346,207982,54195,48327,288121,193722,560,0,1357,4079,654265,2695447,1879373,816074,217923,245182,77626,167556
