year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,113664,57904,2506,0,27328,0,29307,20,59537,47074,10497,28548,0,0,54128,81919,61616,20303,5649,2456,1188,955
1993,127888,77411,1818,0,36238,0,21721,0,70546,52812,25293,17216,0,0,56874,94284,75204,19080,4603,4658,1450,2737
1994,160221,126469,754,0,82183,0,17185,0,97160,79634,7795,47611,0,0,63061,144762,133583,11179,-6561,10725,3221,6259
1995,134605,99106,899,0,54262,0,16304,0,76774,52669,3404,37043,0,0,57830,138564,123775,14788,24,-3747,1466,-5213
1996,102700,67833,1536,0,18768,0,14505,0,66937,37302,1709,31807,0,0,35763,105819,101126,4694,-8599,-20831,1207,-22038
1997,107712,74602,2689,0,17012,0,12583,0,69247,62124,2199,55090,0,0,38465,93917,75888,18029,5686,2719,0,2719
1998,122611,77961,4792,0,13431,0,20234,70,82728,63954,2306,58488,0,0,32091,79326,66513,12813,-606,-6690,0,-6690
1999,221725,143138,974,0,39401,0,52815,0,151339,75913,3947,63416,64106,106,70385,132342,109386,22956,18101,7476,0,7476
2000,199003,137136,1568,0,39253,0,52321,0,124578,80166,3832,72130,39166,5246,74425,207089,156331,50757,31723,4054,0,4054
2001,175299,116414,7786,61667,30518,0,53548,79,95408,77006,5829,71177,15148,0,79890,147337,116274,31063,17956,1094,357,605
2002,189814,109066,3900,50314,35764,0,61221,119,104585,91764,8633,83130,10463,0,85229,135138,108075,27063,12924,8297,2017,5451
2003,212641,124752,0,60045,41663,133,68295,0,117548,108156,9704,0,8488,0,95094,148768,124395,24373,9394,9061,2202,5954
2004,230021,127332,0,56161,49903,144,87448,68,129252,107592,10698,0,21995,0,100768,153309,127949,25360,9304,8221,2186,5225
2005,245818,140052,0,54707,52916,139,90360,100,147147,120647,10226,0,20172,6223,98671,148442,123810,24631,8275,1523,411,959
2006,241782,145079,2257,34754,92855,0,83274,0,143271,122642,16226,105047,0,20583,98510,166420,128573,37847,19860,1659,448,1045
2007,236809,149066,6495,34266,91952,0,74970,98,132391,120499,12286,106905,0,11892,104418,181691,145036,36656,22905,11258,3040,7092
2008,200791,123896,3826,28267,74933,11660,65173,61,105811,98254,9375,87623,4786,2771,94980,149510,128656,20854,7615,-3911,-1291,-2229
2009,203172,126014,2927,29018,78002,12282,63036,89,87503,85333,12374,72606,2170,0,115669,154347,129784,24563,14238,10956,3616,6245
2010,212000,141058,7616,36261,84916,11744,59116,82,91488,87252,10520,76139,574,3554,0,181620,145809,35811,24309,20823,6072,14168
2011,264013,154934,3958,32520,98771,17685,91307,87,101169,97601,22461,75140,591,2918,162845,215755,165919,49836,28274,26148,8574,17574
2012,267915,153569,9895,23931,107570,17339,96677,331,101301,99323,14855,78398,79,1839,166615,210853,172445,38408,17553,16571,4971,11600
2013,331670,202513,8681,42607,117970,16935,111766,456,137934,134033,25631,108173,2852,991,193736,257294,202312,54982,32212,22389,6717,15673
