"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",2002,3664,2732,5,1935,0,0,1,0,1224,1224,0,1224,0,0,0,0,0,0,0,5,0,0,0,-2382,153,0,569
"2",2003,3007,2274,1,1215,0,0,1,0,1056,1056,0,1056,0,0,0,0,0,0,0,2,0,0,0,-738,-288,0,-288
"3",2004,2911,2181,1,0,0,0,0,0,637,637,1,636,0,0,0,0,0,0,0,3,0,0,0,-643,321,0,321
"4",2005,3560,2984,1,1810,106,0,48,528,1045,1045,329,715,0,0,0,0,0,0,0,6,3581,2068,1513,540,498,0,498
"5",2006,6546,5646,8,4221,167,0,378,521,2658,2658,667,1991,0,0,0,0,0,0,0,12,17539,12144,5394,4173,1699,539,1160
"6",2007,3768,3207,6,59,0,0,71,490,547,547,454,93,0,0,0,0,0,0,0,8,2173,157,2016,300,155,82,74
"7",2008,4883,4295,9,246,0,0,136,452,1311,1256,173,161,494,0,0,0,55,0,0,9,3330,0,3330,1026,1198,370,828
"8",2009,3981,3444,7,0,0,0,120,416,240,204,9,124,0,0,0,0,37,0,0,11,3001,903,2099,560,329,129,200
"9",2010,6260,5444,4,0,0,309,184,324,975,910,2,908,0,0,0,0,65,0,0,1,5238,0,3470,2681,2594,694,1901
"10",2011,7385,6712,10,1350,0,291,148,233,3758,3758,18,2659,0,0,0,0,0,0,0,10,11186,0,11186,6763,6306,1995,4311
"11",2012,4502,3235,11,44,0,298,801,167,1405,1405,38,871,496,0,0,0,0,0,0,7,3858,0,3858,286,-5,127,-133
"12",2013,5783,4598,3,224,0,0,797,94,1545,1545,75,1470,0,0,0,0,0,0,0,13,3853,0,3853,1277,1369,263,1106
"13",2014,3989,1897,2,98,0,0,715,93,1664,1664,20,1601,43,0,0,0,0,0,0,4,2963,0,2963,-869,-976,-158,-818
