year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Banking,570383,108963,238,539,0,0,12676,0,433860,206247,0,157556,47198,0,136523,231968,0,231968,108243,114869,28174,74549
2003,Banking,685863,101869,13,571,0,0,14537,1236,515571,325059,0,108620,23689,0,170292,263125,0,263125,113158,116883,31190,85495
2004,Banking,769110,78789,8,1324,0,0,18441,2007,591275,381286,0,117042,55979,0,177835,283319,0,283319,134662,137005,41586,95340
2005,Banking,1047510,133177,2220,477,0,0,24115,4395,855180,556510,0,202662,38171,0,192330,327352,0,327352,148099,148090,48996,107944
2006,Banking,1185187,120424,10421,42908,0,0,30794,0,963947,586349,149471,77820,97533,97533,221240,364283,0,364283,113514,133462,41628,84559
2007,Banking,1200712,64905,17263,39856,0,0,34426,0,957075,521946,236057,63060,26678,26678,243637,386457,0,386457,107730,132909,40765,84925
2008,Banking,1391674,109857,28530,19523,0,0,43631,0,1134062,653274,249957,116314,43006,43005,257612,447252,0,447252,127419,138587,42253,88882
2009,Banking,1389826,73758,25607,33158,0,0,44044,0,1042350,649545,264028,40885,30238,30237,347477,537961,0,537961,150919,147749,47378,91865
2010,Banking,1819734,232153,35355,38053,0,0,43331,16227,1410766,867499,348012,79560,25343,25343,408968,539058,0,539058,161443,0,55867,119506
2011,Banking,2299552,352657,53937,46876,0,9866,46192,20802,1865843,908435,597096,130144,44869,44869,433709,594059,0,594059,120434,153247,48312,104934
2012,Banking,2930780,488329,72561,80865,0,0,46535,24127,2442299,1495740,705923,68219,17517,17518,488481,699402,0,699402,152194,150206,45541,104665
2013,Banking,3294797,395865,90222,60804,0,0,58404,27019,2757851,1817513,609983,0,0,0,536946,719995,0,719995,119109,0,50058,109110
2014,Banking,3996639,565940,144075,70425,0,0,60223,27960,3415484,2297096,821445,0,0,0,581155,754678,0,754678,106099,0,48123,102789
