year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2001,Insurance,211215,85472,6473,1172,NA,70763,6634,11881,94923,71396,0,11732,0,0,116292,150091,NA,42660,-3092,-4,0,450
2002,Insurance,214844,113556,28122,2747,NA,68052,6357,13238,97634,66952,0,9510,0,0,117209,139379,NA,48458,-2596,-556,0,874
2003,Insurance,195112,103850,22570,734,NA,59194,6208,11662,94434,49910,0,51,0,0,100678,169214,NA,52207,-5422,-5592,0,-4616
2004,Insurance,140835,64165,15187,852,NA,34593,5406,11544,75784,48020,0,42,0,0,65051,127121,NA,30401,-18324,-19172,-6197,-12365
2005,Insurance,238676,133047,33155,0,NA,60431,12416,10336,172368,158937,0,143,4231,0,66308,138768,NA,24694,-39203,-39218,-7809,-20861
2006,Insurance,177921,109043,34346,84,NA,27208,11310,176,111413,71272,0,0,2176,0,66508,184248,NA,55526,-3435,-3435,-9812,11711
2007,Insurance,166122,90346,30936,0,NA,9909,9525,0,102952,72321,0,7690,990,0,63171,144604,NA,40837,-4679,-5421,0,-6564
2008,Insurance,357706,188479,7457,0,NA,89684,11453,3904,270771,148782,0,18746,0,0,86935,305582,NA,83896,7479,7896,-636,9263
2009,Insurance,541771,321261,8172,167,NA,143702,27159,5864,416554,246914,0,39726,0,0,125217,425839,NA,124133,25241,25241,6302,16725
2010,Insurance,597194,315558,42209,1082,NA,0,60267,6867,459757,270106,0,12361,0,0,137438,506043,NA,173754,0,0,11630,26151
2011,Insurance,642700,369850,36050,1834,NA,0,56467,6848,482207,286382,0,20023,0,0,160492,545240,NA,173583,0,0,12305,21076
2012,Insurance,753998,432555,87772,1969,NA,0,73727,7754,562776,346615,0,18351,0,0,191222,616697,NA,176135,0,0,13454,21770
2013,Insurance,1214072,763668,74744,1740,NA,0,84870,10589,1019629,638077,0,4351,0,0,194443,730571,NA,224901,0,0,14983,35034
2014,Insurance,1312651,828018,105836,1483,NA,0,89574,13697,1077169,690429,0,990,0,0,235482,817064,NA,268459,0,0,21036,47332
