year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2000,Banking,121323,7462,3731,0,NA,340,2181,0,53221,26286,0,0,0,0,68102,39608,NA,NA,39004,39004,1560,37445
2001,Banking,257107,5283,0,1176,NA,8339,6353,0,131631,55737,25897,22232,0,0,125476,86510,NA,NA,53207,55476,0,57394
2002,Banking,381855,25088,8344,5731,NA,0,6553,0,294809,107721,112583,41747,0,0,87046,137625,NA,NA,33908,32392,5038,26502
2003,Banking,464716,18564,11239,5161,NA,0,7854,903,372461,186987,112006,32820,0,0,92255,171539,NA,NA,44979,44435,12369,29094
2004,Banking,518713,20113,3191,9058,NA,0,11258,772,430666,190922,75857,62374,0,0,88047,199922,NA,NA,48336,45652,10841,21972
2005,Banking,752230,40287,6494,21836,NA,12283,11142,4303,646416,276555,37884,150805,9466,0,105814,232547,NA,NA,63150,60830,21265,39914
2006,Banking,917372,59911,8037,17878,NA,37752,16315,0,762596,380761,113986,100373,0,0,154776,304280,NA,NA,72641,86012,26059,55381
2007,Banking,1148535,59493,9107,22276,NA,42780,21918,0,957980,581274,97589,110125,65529,65529,190555,350901,NA,NA,93865,107275,32253,69364
2008,Banking,1173620,54278,10630,8982,NA,33899,24442,0,972213,517604,96042,81929,87085,87085,201407,401155,NA,NA,81757,102432,28591,68825
2009,Banking,1024132,84742,8003,10224,NA,37567,21663,0,807175,464389,93635,18820,54487,54487,216957,395740,NA,NA,65045,89475,29286,55051
2010,Banking,1201361,193284,13913,9927,NA,0,21673,54664,961409,611352,94853,0,52955,52955,239952,357329,NA,NA,56486,0,26302,55052
2011,Banking,1248403,154088,18201,7423,NA,19796,18013,61842,970450,747264,111384,9971,48000,48000,277953,382276,NA,NA,59183,81775,28879,52896
2012,Banking,1337605,163913,17183,15114,NA,0,19641,75165,1083128,760305,105952,41171,0,0,254477,379387,NA,NA,49348,85109,28393,56716
2013,Banking,1503084,241048,13052,12543,NA,137097,15400,0,1191761,823897,72913,0,0,0,311324,438925,NA,NA,47417,0,30509,60768
2014,Banking,1556442,125513,19946,20919,NA,0,13721,78607,1204707,850852,52694,0,0,0,351735,429548,NA,NA,25077,0,25269,49881
